scoring 122 records  zones=["TRAIN"] sources=["mitdb", "svdb", "nsrdb", "stdb", "qtdb", "ltdb"] lead=0 tol=150ms gate=false
source       record   zone    nref      TP      FP      FN      Se%     PPV%    bad%
mitdb           115  TRAIN    1953    1950       0       3   99.846  100.000    0.00
mitdb           223  TRAIN    2605    2601       0       4   99.846  100.000    0.08
svdb            829  TRAIN    1967    1964       0       3   99.847  100.000    0.00
svdb            851  TRAIN    2628    2625       1       3   99.886   99.962    0.06
mitdb           220  TRAIN    2048    2045       0       3   99.854  100.000    0.00
svdb            875  TRAIN    2052    2049       0       3   99.854  100.000    0.15
svdb            825  TRAIN    2798    2794       0       4   99.857  100.000    0.00
svdb            804  TRAIN    2834    2830       0       4   99.859  100.000    0.00
svdb            858  TRAIN    2180    2178       1       2   99.908   99.954    0.00
stdb            325  TRAIN    1465    1463       0       2   99.863  100.000    0.00
mitdb           230  TRAIN    2256    2253       0       3   99.867  100.000    0.00
stdb            320  TRAIN    3135    3133       2       2   99.936   99.936    0.00
svdb            802  TRAIN    1671    1669       0       2   99.880  100.000    1.40
stdb            316  TRAIN    3351    3348       1       3   99.910   99.970    0.00
mitdb           112  TRAIN    2539    2536       0       3   99.882  100.000    0.00
stdb            300  TRAIN    2558    2555       0       3   99.883  100.000    0.00
svdb            844  TRAIN    1709    1707       0       2   99.883  100.000    0.00
svdb            880  TRAIN    3487    3483       0       4   99.885  100.000    0.00
svdb            841  TRAIN    1854    1852       0       2   99.892  100.000    0.00
svdb            827  TRAIN    1862    1860       0       2   99.893  100.000    0.00
svdb            800  TRAIN    1883    1882       1       1   99.947   99.947    0.00
svdb            864  TRAIN    1895    1893       0       2   99.894  100.000    0.01
svdb            823  TRAIN    2861    2858       0       3   99.895  100.000    0.00
svdb            882  TRAIN    1935    1933       0       2   99.897  100.000    0.00
mitdb           119  TRAIN    1987    1985       0       2   99.899  100.000    0.00
svdb            806  TRAIN    3023    3020       0       3   99.901  100.000    0.00
svdb            879  TRAIN    2062    2060       0       2   99.903  100.000    0.00
svdb            869  TRAIN    2161    2159       0       2   99.907  100.000    0.00
svdb            894  TRAIN    2347    2345       0       2   99.915  100.000    0.15
svdb            824  TRAIN    2419    2417       0       2   99.917  100.000    0.00
svdb            809  TRAIN    2544    2542       0       2   99.921  100.000    0.00
stdb            309  TRAIN    5149    5146       1       3   99.942   99.981    0.00
svdb            826  TRAIN    2661    2659       0       2   99.925  100.000    0.00
mitdb           209  TRAIN    3005    3003       0       2   99.933  100.000    0.00
mitdb           124  TRAIN    1619    1618       0       1   99.938  100.000    1.05
svdb            812  TRAIN    1842    1841       0       1   99.946  100.000    0.00
ltdb          14134  TRAIN   49632   49623      12       9   99.982   99.976    0.01

── QRS detection ─────────────────────────────────────────────
records          122  (236.32 h of signal)
reference beats  1038935
detected         1041368
TP / FP / FN     1037509 / 3859 / 1426
Sensitivity      99.8627 %
PPV (+P)         99.6294 %
F1               99.7460 %
DER              0.5087 %
fiducial offset  mean +12.38 ms  sd 13.19 ms  p5 -11.1 / p50 +15.6 / p95 +31.2 ms  (rates 128-360 Hz)
per-record F1    min 92.9913  p10 99.2789  median 99.8856  mean 99.5325

throughput       27727x realtime single-thread-equivalent  (30.68 s CPU for 850756 s signal)
wall             3.02 s
